model,phase,magnitude_cm,force_N,episode,trigger_step,fired,success
OFT,B,5.0,0.1091,47,106,1,1
OFT,B,5.0,0.1091,48,196,1,1
OFT,B,5.0,0.1091,49,162,1,0
OFT,B,5.0,0.1091,50,133,1,1
OFT,B,8.0,0.1162,1,126,1,1
OFT,B,8.0,0.1162,2,134,1,1
OFT,B,8.0,0.1162,3,176,1,1
OFT,B,8.0,0.1162,4,71,1,0
OFT,B,8.0,0.1162,5,189,1,1
OFT,B,8.0,0.1162,6,158,1,1
OFT,B,8.0,0.1162,7,181,1,1
OFT,B,8.0,0.1162,8,74,1,0
OFT,B,8.0,0.1162,9,107,1,0
OFT,B,8.0,0.1162,10,166,1,0
OFT,B,8.0,0.1162,11,147,1,1
OFT,B,8.0,0.1162,12,198,1,0
OFT,B,8.0,0.1162,13,84,1,0
OFT,B,8.0,0.1162,14,106,1,0
OFT,B,8.0,0.1162,15,116,1,0
OFT,B,8.0,0.1162,16,137,1,0
OFT,B,8.0,0.1162,17,110,1,0
OFT,B,8.0,0.1162,18,187,1,0
OFT,B,8.0,0.1162,19,186,1,1
OFT,B,8.0,0.1162,20,104,1,0
OFT,B,8.0,0.1162,21,182,1,0
OFT,B,8.0,0.1162,22,104,1,0
OFT,B,8.0,0.1162,23,74,1,1
OFT,B,8.0,0.1162,24,179,1,1
OFT,B,8.0,0.1162,25,104,1,0
OFT,B,8.0,0.1162,26,165,1,0
OFT,B,8.0,0.1162,27,103,1,0
OFT,B,8.0,0.1162,28,137,1,0
OFT,B,8.0,0.1162,29,192,1,1
OFT,B,8.0,0.1162,30,176,1,0
OFT,B,8.0,0.1162,31,143,1,0
OFT,B,8.0,0.1162,32,185,1,1
OFT,B,8.0,0.1162,33,176,1,0
OFT,B,8.0,0.1162,34,154,1,1
OFT,B,8.0,0.1162,35,120,1,0
OFT,B,8.0,0.1162,36,172,1,1
OFT,B,8.0,0.1162,37,121,1,0
OFT,B,8.0,0.1162,38,125,1,1
OFT,B,8.0,0.1162,39,93,1,0
OFT,B,8.0,0.1162,40,169,1,0
OFT,B,8.0,0.1162,41,149,1,0
OFT,B,8.0,0.1162,42,199,1,1
OFT,B,8.0,0.1162,43,63,1,1
OFT,B,8.0,0.1162,44,159,1,1
OFT,B,8.0,0.1162,45,117,1,1
OFT,B,8.0,0.1162,46,124,1,1
OFT,B,8.0,0.1162,47,106,1,1
OFT,B,8.0,0.1162,48,196,1,1
OFT,B,8.0,0.1162,49,162,1,0
OFT,B,8.0,0.1162,50,133,1,1
OFT,C,1.0,0.0997,1,217,1,0
OFT,C,1.0,0.0997,2,233,0,1
OFT,C,1.0,0.0997,3,234,0,1
OFT,C,1.0,0.0997,4,235,0,1
OFT,C,1.0,0.0997,5,229,0,1
OFT,C,1.0,0.0997,6,229,0,1
OFT,C,1.0,0.0997,7,222,0,1
OFT,C,1.0,0.0997,8,218,1,1
OFT,C,1.0,0.0997,9,200,1,1
OFT,C,1.0,0.0997,10,211,1,1
OFT,C,1.0,0.0997,11,225,1,0
OFT,C,1.0,0.0997,12,211,1,0
OFT,C,1.0,0.0997,13,225,1,1
OFT,C,1.0,0.0997,14,229,1,1
OFT,C,1.0,0.0997,15,206,1,1
OFT,C,1.0,0.0997,16,208,1,1
OFT,C,1.0,0.0997,17,233,0,1
OFT,C,1.0,0.0997,18,208,1,1
OFT,C,1.0,0.0997,19,217,0,1
OFT,C,1.0,0.0997,20,209,0,1
OFT,C,1.0,0.0997,21,225,1,0
OFT,C,1.0,0.0997,22,209,1,0
OFT,C,1.0,0.0997,23,208,1,1
OFT,C,1.0,0.0997,24,203,1,0
OFT,C,1.0,0.0997,25,221,1,1
OFT,C,1.0,0.0997,26,216,1,0
OFT,C,1.0,0.0997,27,221,1,1
OFT,C,1.0,0.0997,28,221,1,0
OFT,C,1.0,0.0997,29,206,1,0
OFT,C,1.0,0.0997,30,213,0,1
OFT,C,1.0,0.0997,31,215,1,0
OFT,C,1.0,0.0997,32,234,0,1
OFT,C,1.0,0.0997,33,226,1,1
OFT,C,1.0,0.0997,34,222,1,1
OFT,C,1.0,0.0997,35,223,0,1
OFT,C,1.0,0.0997,36,224,1,1
OFT,C,1.0,0.0997,37,203,1,1
OFT,C,1.0,0.0997,38,222,0,1
OFT,C,1.0,0.0997,39,222,1,1
OFT,C,1.0,0.0997,40,210,1,0
OFT,C,1.0,0.0997,41,201,1,1
OFT,C,1.0,0.0997,42,228,0,1
OFT,C,1.0,0.0997,43,230,0,1
OFT,C,1.0,0.0997,44,213,0,1
OFT,C,1.0,0.0997,45,220,1,1
OFT,C,1.0,0.0997,46,205,1,1
OFT,C,1.0,0.0997,47,221,0,1
OFT,C,1.0,0.0997,48,229,0,1
OFT,C,1.0,0.0997,49,200,1,1
OFT,C,1.0,0.0997,50,228,0,1
OFT,C,3.0,0.1039,1,217,1,0
OFT,C,3.0,0.1039,2,233,0,1
OFT,C,3.0,0.1039,3,234,0,1
OFT,C,3.0,0.1039,4,235,0,1
OFT,C,3.0,0.1039,5,229,0,1
OFT,C,3.0,0.1039,6,229,0,1
OFT,C,3.0,0.1039,7,222,0,1
OFT,C,3.0,0.1039,8,218,1,1
OFT,C,3.0,0.1039,9,200,1,1
OFT,C,3.0,0.1039,10,211,1,1
OFT,C,3.0,0.1039,11,225,1,0
OFT,C,3.0,0.1039,12,211,1,0
OFT,C,3.0,0.1039,13,225,1,1
OFT,C,3.0,0.1039,14,229,1,1
OFT,C,3.0,0.1039,15,206,1,1
OFT,C,3.0,0.1039,16,208,1,1
OFT,C,3.0,0.1039,17,233,0,1
OFT,C,3.0,0.1039,18,208,1,1
OFT,C,3.0,0.1039,19,217,0,1
OFT,C,3.0,0.1039,20,209,0,1
OFT,C,3.0,0.1039,21,225,1,0
OFT,C,3.0,0.1039,22,209,1,0
OFT,C,3.0,0.1039,23,208,1,1
OFT,C,3.0,0.1039,24,203,1,0
OFT,C,3.0,0.1039,25,221,1,1
OFT,C,3.0,0.1039,26,216,1,0
OFT,C,3.0,0.1039,27,221,1,1
OFT,C,3.0,0.1039,28,221,1,0
OFT,C,3.0,0.1039,29,206,1,0
OFT,C,3.0,0.1039,30,213,0,1
OFT,C,3.0,0.1039,31,215,1,0
OFT,C,3.0,0.1039,32,234,0,1
OFT,C,3.0,0.1039,33,226,1,1
OFT,C,3.0,0.1039,34,222,1,1
OFT,C,3.0,0.1039,35,223,0,1
OFT,C,3.0,0.1039,36,224,1,1
OFT,C,3.0,0.1039,37,203,1,1
OFT,C,3.0,0.1039,38,222,0,1
OFT,C,3.0,0.1039,39,222,1,1
OFT,C,3.0,0.1039,40,210,1,0
OFT,C,3.0,0.1039,41,201,1,1
OFT,C,3.0,0.1039,42,228,0,1
OFT,C,3.0,0.1039,43,230,0,1
OFT,C,3.0,0.1039,44,213,0,1
OFT,C,3.0,0.1039,45,220,1,1
OFT,C,3.0,0.1039,46,205,1,1
OFT,C,3.0,0.1039,47,221,0,1
OFT,C,3.0,0.1039,48,229,0,1
OFT,C,3.0,0.1039,49,200,1,1
OFT,C,3.0,0.1039,50,228,0,1
OFT,C,5.0,0.1091,1,217,1,0
OFT,C,5.0,0.1091,2,233,0,1
OFT,C,5.0,0.1091,3,234,0,1
OFT,C,5.0,0.1091,4,235,0,1
OFT,C,5.0,0.1091,5,229,0,1
